Speaker_ID;Top_Right_X;Top_Right_Y;Top_Right_Z;Top_Left_X;Top_Left_Y;Top_Left_Z;Bottom_Right_X;Bottom_Right_Y;Bottom_Right_Z;Bottom_Left_X;Bottom_Left_Y;Bottom_Left_Z;Center_X;Center_Y;Center_Z;C1_r0;C1_r1;C1_r2;C2_r3;C2_r4;C2_r5;C3_r6;C3_r7;C3_r8
33;-4679;-4294;1985;-4544;-4434;1992;-4551;-4455;1707;-4685;-4314;1699;-4615;-4374;1847;-0.688302685445804;0.72425879587954;-0.0410926976385555;0.0244876521536326;0.0734629564608978;0.996997266255042;0.725110562583825;0.685236938853904;-0.0683008759790132
34;-4886;-3159;2011;-4781;-3322;2005;-4796;-3322;1721;-4903;-3160;1726;-4840;-3240;1866;-0.550946526807879;0.83414333965305;0.0257451648041065;0.0527433855078337;0;0.998608098948317;0.832986967251788;0.551540644744201;-0.043995790523862
35;-4870;-2042;2008;-4795;-2220;2006;-4810;-2224;1722;-4886;-2045;1724;-4838;-2131;1866;-0.390793281287434;0.920421017769089;0.0102840337180904;0.0527381693941391;0.0140635118384371;0.998509340529034;0.918907467713234;0.390754426834694;-0.0540374286022439
36;-4843;-932;1991;-4806;-1121;1989;-4820;-1122;1706;-4857;-932;1707;-4830;-1026;1849;-0.191143651170979;0.98154847898611;0.00516604462624269;0.049409234470772;0.00352923103362657;0.998772382516319;0.980325610692505;0.19116431453274;-0.0491721655979781
37;-4815;150;1983;-4818;-44;1984;-4830;-46;1700;-4826;148;1698;-4820;52;1842;0.0206130804701035;0.999734402800022;-0.0103065402350518;0.0422148077757648;0.00703580129596081;0.999083784026434;0.998893804971144;-0.0210293432625504;-0.0420586865251008
38;-4781;1230;1991;-4826;1042;1994;-4841;1040;1711;-4794;1228;1707;-4808;1134;1851;0.242483973631507;0.969935894526027;-0.0206369339260857;0.0529279186801366;0.00705705582401821;0.998573399098577;0.968698236599287;-0.243230420566847;-0.0496254866001965
39;-4742;2320;2006;-4825;2145;2008;-4840;2147;1725;-4755;2322;1721;-4788;2232;1866;0.436811647704931;0.899318098216034;-0.0205558422449379;0.0529279186801366;-0.00705705582401821;0.998573399098577;0.897896391707498;-0.437279550175219;-0.0506819963814944
40;-4714;3420;1998;-4826;3262;2001;-4846;3264;1716;-4727;3423;1713;-4775;3342;1858;0.599125705389979;0.800512497117703;-0.0151040093795793;0.0700015663025692;-0.00700015663025692;0.997522319811612;0.798604013006337;-0.598834036105195;-0.0602447309906566
41;-4526;4437;1956;-4660;4297;1954;-4673;4312;1670;-4541;4455;1671;-4599;4375;1813;0.678271148244762;0.734793743931826;0.00513841778973305;0.0456632525580081;-0.0526883683361632;0.997566440498023;0.733278825685772;-0.676388214551266;-0.0692903096907888
42;-3455;4361;1984;-3606;4239;1981;-3610;4251;1697;-3461;4376;1699;-3532;4307;1841;0.766069369322946;0.642675645405156;0.0102828103264825;0.0140705578390271;-0.0422116735170812;0.999009606570921;0.642485060956527;-0.765180102436345;-0.0413806389896558
43;-2452;4353;2006;-2619;4256;1998;-2617;4276;1714;-2451;4375;1722;-2534;4315;1861;0.858124681843651;0.511773153629648;0.0413554063539109;-0.00702468243665154;-0.0702468243665154;0.997504906004519;0.513401452875749;-0.85627431452894;-0.0566855048761525
44;-1438;4336;2006;-1621;4272;2002;-1620;4289;1718;-1434;4349;1722;-1529;4312;1863;0.951509348784799;0.306938499608;0.0204625666405333;-0.00351481364451224;-0.0597518319567082;0.998207075041477;0.307611101408379;-0.949876038414884;-0.0557756392663544
45;-444;4305;2005;-637;4284;2004;-637;4297;1721;-444;4320;1721;-539;4300;1863;0.992973887467987;0.11833367570862;0;0;-0.0458880059295518;0.998946590620244;0.118210764695709;-0.99194250375095;-0.0455662634231885
46;565;4285;2007;373;4309;2005;378;4322;1721;571;4300;1723;472;4304;1865;0.993513157645117;-0.113250204498407;0.0102954731362188;-0.0175844987113332;-0.0457196966494664;0.998799526803728;-0.112643772199677;-0.992503516478735;-0.0474146639972603
47;1542;4268;2011;1360;4332;2008;1368;4344;1725;1552;4283;1727;1456;4306;1868;0.94914738803621;-0.314662992772874;0.0103168194351762;-0.028231914305302;-0.0423478714579531;0.99870396855006;-0.313819858576199;-0.948213283457106;-0.0490781564314306
48;2533;4247;2012;2366;4346;2019;2363;4362;1736;2531;4264;1728;2449;4306;1874;0.863049126641297;-0.50344532387409;-0.0410975774591094;0.0105832122068763;-0.0564437984366735;0.998349684848663;-0.504937240530022;-0.862064986631688;-0.043385964892286
49;3526;4228;2001;3378;4352;2004;3383;4364;1720;3532;4240;1717;3456;4297;1861;0.76855192325911;-0.63960025828275;-0.0154741997971633;-0.0175872180338132;-0.0422093232811516;0.998953984320588;-0.639585632577583;-0.767477358551694;-0.0436889312165783
50;4560;4243;1982;4429;4385;1992;4426;4402;1708;4560;4262;1698;4493;4322;1846;0.690538195748469;-0.721457816453624;-0.0515327011752589;0.0105439199116502;-0.059748879499351;0.998157751636217;-0.723208132164964;-0.689809790173675;-0.033651908579076
51;4649;3057;2007;4540;3217;2001;4554;3216;1717;4665;3056;1723;4601;3136;1863;0.569740429788805;-0.821247466362242;0.0307967799885841;-0.0492356829367013;0.00351683449547866;0.998780996715941;-0.820354683547387;-0.570562224124583;-0.0384309976955593
52;4628;1960;2012;4551;2138;2011;4561;2140;1727;4640;1962;1728;4594;2049;1870;0.405656623003411;-0.914011125248192;0.0051348939620685;-0.0351885883613817;-0.00703771767227634;0.99935590946324;-0.913389636270668;-0.405577522764222;-0.0350177866487152
53;4614;981;1996;4571;1171;2002;4586;1183;1718;4630;993;1712;4599;1081;1858;0.225501705363095;-0.973757364067911;-0.030750232549513;-0.0526964961215314;-0.0421571968972252;0.997720326567662;-0.972834971494518;-0.223367461066794;-0.0608201905113355
54;4594;-86;1990;4602;109;1991;4618;111;1707;4616;-84;1707;4607;14;1850;-0.0102558708428064;-0.999947407173625;0;-0.0562474424199264;-0.0070309303024908;0.998392102953694;-0.998368484371863;0.0102396767627883;-0.05617400139586
55;4587;-1148;1999;4633;-959;2001;4651;-961;1716;4607;-1151;1714;4618;-1055;1858;-0.225596533670635;-0.97416684994138;-0.0102543878941198;-0.0630307586363858;0.00700341762626509;0.997987011742775;-0.972137959153396;0.225789660811752;-0.0629826757417005
56;4495;-2182;2450;4577;-2007;2465;4638;-2013;2185;4549;-2183;2170;4561;-2095;2318;-0.462401618409664;-0.883239046400482;-0.0779328570353367;-0.212817603709956;0.0209328790534383;0.976867689160454;-0.86118250694896;0.468294044770078;-0.197649632830382
57;4564;-3242;1994;4687;-3093;2003;4708;-3092;1720;4587;-3244;1710;4635;-3167;1858;-0.621986724775804;-0.781338695586133;-0.0514038615517193;-0.074001027295768;-0.00352385844265562;0.99725193927154;-0.779375069197146;0.624083327733214;-0.0556282442593882
58;4441;-4359;1997;4576;-4221;1985;4574;-4243;1701;4438;-4382;1713;4506;-4300;1850;-0.698023567675193;-0.71342114637391;0.06159031479487;0.00702104553118558;0.0772315008430414;0.996988465428352;-0.716030073502178;0.696354561668651;-0.0489004936961477
59;4590;-4156;569;4566;-4139;377;4372;-4348;382;4395;-4365;575;4482;-4252;475;0.117883632529262;-0.0871313805651066;0.989197438180328;0.680212027279376;0.732805740728812;-0.0175312378164788;-0.723362406760236;0.674930982577119;0.145653689426406
60;2466;-4205;578;2445;-4168;389;2194;-4303;391;2215;-4341;581;2330;-4253;485;0.107748995317074;-0.194974372478515;0.974871862392576;0.880674648781281;0.473669631814633;-0.00701732787873531;-0.460403258674754;0.859308999103126;0.222748475779414
61;390;-4292;562;390;-4243;374;105;-4253;371;105;-4304;559;248;-4272;467;0;-0.26181401906153;0.965118344775836;0.999329698873417;0.0350641999604708;0.0105192599881412;-0.0365952096502018;0.964471880500646;0.261638648433686
62;-1966;-4338;565;-1949;-4303;375;-2202;-4174;377;-2223;-4217;566;-2084;-4259;471;-0.107712138182259;-0.220553425801767;0.969409243640327;0.890856115622375;-0.454230983854887;-0.00704234083495948;0.441890421321954;0.862848525714487;0.245408388642772
63;-4425;-4446;536;-4401;-4415;346;-4609;-4218;353;-4635;-4252;544;-4518;-4334;444;-0.132831252629603;-0.173702407284866;0.975798817394392;0.725827763240931;-0.687442641146458;-0.0244268958783006;0.675048963844854;0.705017465316482;0.217391973197521
64;-4583;-1386;522;-4543;-1380;334;-4610;-1104;328;-4645;-1111;517;-4594;-1245;426;-0.18196863131171;-0.0363937262623419;0.982630609083233;0.235849708905934;-0.971559994896086;0.0211208694542627;0.953998981156583;0.23561699252578;0.185393033270692
65;-4675;1009;498;-4630;1017;311;-4565;1291;338;-4612;1284;526;-4620;1150;419;-0.242377546745185;-0.0360987835577936;0.969510186980742;-0.229766626681235;-0.968554703240897;-0.0954415218522051;0.942470635583131;-0.245894400560547;0.22646201632172
66;-4589;4124;518;-4625;4143;314;-4426;4345;312;-4419;4336;514;-4535;4253;409;0.0345983945870071;-0.0444836501832948;0.998410815225062;-0.701779610168937;-0.712359202282037;0.00705306140873303;0.710987615192059;-0.700981561861989;-0.0558700364510015
67;-2300;4210;533;-2278;4171;345;-2024;4297;348;-2046;4338;536;-2162;4253;441;-0.113593881040804;0.211697687394225;0.97071134707596;-0.895783361365694;-0.444364974535738;-0.0105801184413271;0.42911177098582;-0.870751821133034;0.240113210787992
68;66;4316;513;68;4266;326;352;4250;333;350;4300;521;208;4282;424;-0.0102803648525108;0.25700912131277;0.966354296136017;-0.998114599653802;0.0562318084312001;-0.0246014161886501;-0.0606626647804359;-0.964785668631316;0.255946585648962
69;2226;4375;542;2210;4329;355;2457;4190;367;2474;4236;555;2341;4284;455;0.0874976110677772;0.236758241712809;0.967620640043654;-0.870701231902325;0.489989762082685;-0.0423012744244044;-0.484139679066287;-0.838807736568452;0.249018778863168
70;4365;4415;511;4342;4388;321;4535;4181;327;4559;4209;518;4448;4297;420;0.123375787953914;0.143938419279566;0.981865645799898;-0.68178728589797;0.731243358450154;-0.0211954596652219;-0.721033611862091;-0.666808542852641;0.188353119814472
71;4408;1330;566;4349;1513;584;4275;1516;309;4337;1333;290;4342;1422;438;0.319341658441474;-0.942572959593383;-0.0978627662965808;0.259833126460453;-0.0105337753970454;0.965596078062494;-0.911176771433371;-0.33378346420496;0.241548111612562
72;4370;-1507;596;4433;-1324;593;4367;-1305;317;4306;-1490;319;4368;-1406;457;-0.313129471427001;-0.949654954327789;0.0102665400467869;0.232053682420902;-0.0668033328181386;0.970406308305592;-0.920865571424027;0.306245286659145;0.241289087538078
